company,status,company_fit,current_trigger,ability_to_pay,decision_maker,contact_route,evidence_url,angle,last_action,next_action,notes
Bettervits,CONTACTED,PASS,PASS,PASS,UNKNOWN,LinkedIn DM,,Independent ecommerce operations review,DM sent,Wait for reply / follow-up after 3-4 working days,Existing active lead
Fable England,FOLLOW_UP,PASS,PASS,PASS,KNOWN,LinkedIn,,Independent operational/fulfilment review,LinkedIn message sent,Follow up if no reply,Existing active lead
